territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 1,ABELARDO DE LA ESPRIELLA,6037,7425,1388,23202,26011,26.01930868028618,28.545615316596823,2.5263066363106432
Comuna 1,CLAUDIA LÓPEZ,148,0,-148,23202,26011,0.6378760451685199,0.0,-0.6378760451685199
Comuna 1,GUSTAVO MATAMOROS CAMACHO,5,0,-5,23202,26011,0.021549866390828377,0.0,-0.021549866390828377
Comuna 1,IVÁN CEPEDA CASTRO,14283,18180,3897,23202,26011,61.559348332040344,69.89350659336434,8.334158261323992
Comuna 1,MIGUEL URIBE LONDOÑO,22,0,-22,23202,26011,0.09481941211964486,0.0,-0.09481941211964486
Comuna 1,PALOMA VALENCIA LASERNA,1120,0,-1120,23202,26011,4.827170071545557,0.0,-4.827170071545557
Comuna 1,RAÚL SANTIAGO BOTERO JARAMILLO,133,0,-133,23202,26011,0.5732264459960348,0.0,-0.5732264459960348
Comuna 1,ROY LEONARDO BARRERAS MONTEALEGRE,17,0,-17,23202,26011,0.07326954572881648,0.0,-0.07326954572881648
Comuna 1,SERGIO FAJARDO VALDERRAMA,845,0,-845,23202,26011,3.641927420049996,0.0,-3.641927420049996
Comuna 1,SONDRA MACOLLINS GARVIN PINTO,23,0,-23,23202,26011,0.09912938539781053,0.0,-0.09912938539781053
Comuna 1,VOTO EN BLANCO,533,406,-127,23202,26011,2.297215757262305,1.5608780900388297,-0.7363376672234752
Comuna 1,ÓSCAR MAURICIO LIZCANO ARANGO,36,0,-36,23202,26011,0.1551590380139643,0.0,-0.1551590380139643
Comuna 10,ABELARDO DE LA ESPRIELLA,20298,24023,3725,52822,55516,38.42717049714135,43.27220981338713,4.845039316245781
Comuna 10,CLAUDIA LÓPEZ,386,0,-386,52822,55516,0.7307561243421302,0.0,-0.7307561243421302
Comuna 10,GUSTAVO MATAMOROS CAMACHO,9,0,-9,52822,55516,0.017038355230775057,0.0,-0.017038355230775057
Comuna 10,IVÁN CEPEDA CASTRO,25001,30461,5460,52822,55516,47.330657680511905,54.86886663304272,7.538208952530816
Comuna 10,MIGUEL URIBE LONDOÑO,31,0,-31,52822,55516,0.058687668017114086,0.0,-0.058687668017114086
Comuna 10,PALOMA VALENCIA LASERNA,3037,0,-3037,52822,55516,5.749498315095983,0.0,-5.749498315095983
Comuna 10,RAÚL SANTIAGO BOTERO JARAMILLO,203,0,-203,52822,55516,0.3843095679830374,0.0,-0.3843095679830374
Comuna 10,ROY LEONARDO BARRERAS MONTEALEGRE,36,0,-36,52822,55516,0.06815342092310023,0.0,-0.06815342092310023
Comuna 10,SERGIO FAJARDO VALDERRAMA,2652,0,-2652,52822,55516,5.0206353413350495,0.0,-5.0206353413350495
Comuna 10,SONDRA MACOLLINS GARVIN PINTO,38,0,-38,52822,55516,0.07193972208549468,0.0,-0.07193972208549468
Comuna 10,VOTO EN BLANCO,1054,1032,-22,52822,55516,1.9953807125818785,1.858923553570142,-0.1364571590117365
Comuna 10,ÓSCAR MAURICIO LIZCANO ARANGO,77,0,-77,52822,55516,0.1457725947521866,0.0,-0.1457725947521866
Comuna 11,ABELARDO DE LA ESPRIELLA,14331,17078,2747,44819,48648,31.975278341774693,35.105245847722415,3.1299675059477217
Comuna 11,CLAUDIA LÓPEZ,276,0,-276,44819,48648,0.6158102590419242,0.0,-0.6158102590419242
Comuna 11,GUSTAVO MATAMOROS CAMACHO,14,0,-14,44819,48648,0.031236752270242533,0.0,-0.031236752270242533
Comuna 11,IVÁN CEPEDA CASTRO,24954,30783,5829,44819,48648,55.67727972511658,63.27701036013813,7.599730635021551
Comuna 11,MIGUEL URIBE LONDOÑO,36,0,-36,44819,48648,0.08032307726633794,0.0,-0.08032307726633794
Comuna 11,PALOMA VALENCIA LASERNA,2162,0,-2162,44819,48648,4.8238470291617395,0.0,-4.8238470291617395
Comuna 11,RAÚL SANTIAGO BOTERO JARAMILLO,222,0,-222,44819,48648,0.4953256431424173,0.0,-0.4953256431424173
Comuna 11,ROY LEONARDO BARRERAS MONTEALEGRE,35,0,-35,44819,48648,0.07809188067560632,0.0,-0.07809188067560632
Comuna 11,SERGIO FAJARDO VALDERRAMA,1762,0,-1762,44819,48648,3.931368392869096,0.0,-3.931368392869096
Comuna 11,SONDRA MACOLLINS GARVIN PINTO,31,0,-31,44819,48648,0.0691670943126799,0.0,-0.0691670943126799
Comuna 11,VOTO EN BLANCO,929,787,-142,44819,48648,2.072781632789665,1.6177437921394509,-0.45503784065021424
Comuna 11,ÓSCAR MAURICIO LIZCANO ARANGO,67,0,-67,44819,48648,0.14949017157901784,0.0,-0.14949017157901784
Comuna 12,ABELARDO DE LA ESPRIELLA,9577,11241,1664,31467,34203,30.43505895064671,32.86553811069204,2.4304791600453335
Comuna 12,CLAUDIA LÓPEZ,187,0,-187,31467,34203,0.5942733657482442,0.0,-0.5942733657482442
Comuna 12,GUSTAVO MATAMOROS CAMACHO,5,0,-5,31467,34203,0.01588966218578193,0.0,-0.01588966218578193
Comuna 12,IVÁN CEPEDA CASTRO,18453,22446,3993,31467,34203,58.642387262846796,65.6258222962898,6.983435033443001
Comuna 12,MIGUEL URIBE LONDOÑO,30,0,-30,31467,34203,0.09533797311469158,0.0,-0.09533797311469158
Comuna 12,PALOMA VALENCIA LASERNA,1364,0,-1364,31467,34203,4.33469984428131,0.0,-4.33469984428131
Comuna 12,RAÚL SANTIAGO BOTERO JARAMILLO,163,0,-163,31467,34203,0.518002987256491,0.0,-0.518002987256491
Comuna 12,ROY LEONARDO BARRERAS MONTEALEGRE,23,0,-23,31467,34203,0.07309244605459687,0.0,-0.07309244605459687
Comuna 12,SERGIO FAJARDO VALDERRAMA,1031,0,-1031,31467,34203,3.276448342708234,0.0,-3.276448342708234
Comuna 12,SONDRA MACOLLINS GARVIN PINTO,18,0,-18,31467,34203,0.057202783868814944,0.0,-0.057202783868814944
Comuna 12,VOTO EN BLANCO,580,516,-64,31467,34203,1.8432008135507039,1.5086395930181562,-0.33456122053254767
Comuna 12,ÓSCAR MAURICIO LIZCANO ARANGO,36,0,-36,31467,34203,0.11440556773762989,0.0,-0.11440556773762989
Comuna 13,ABELARDO DE LA ESPRIELLA,14071,17497,3426,60195,67956,23.375695655785364,25.74754252751781,2.371846871732444
Comuna 13,CLAUDIA LÓPEZ,412,0,-412,60195,67956,0.6844422294210483,0.0,-0.6844422294210483
Comuna 13,GUSTAVO MATAMOROS CAMACHO,18,0,-18,60195,67956,0.029902815848492397,0.0,-0.029902815848492397
Comuna 13,IVÁN CEPEDA CASTRO,39069,49514,10445,60195,67956,64.90406179915276,72.86185178645006,7.9577899872973035
