territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
Comuna 1,Congreso 2026,Consultas,NA,0,3872,0.6174735118844341,3,LA GRAN CONSULTA POR COLOMBIA,2974,FRENTE POR LA VIDA,518,0,562,457,3872,4891,2456,63.42975206611571,76.80785123966942,0.0,1.6195026681357616,0.3825264881155659
Comuna 1,Congreso 2026,Cámara,NA,1,16662,0.28806301270297346,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,8324,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1933,487,414,267,17149,17830,6391,37.2674791533034,48.53927342702198,2.839815732695784,3.4714626866418166,0.7119369872970265
Comuna 1,Congreso 2026,Cámara,NA,4,32,0.205078125,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",11,PARTIDO INDÍGENA COLOMBIANO P.I.C,6,15,1,5,47,53,5,10.638297872340425,23.404255319148938,31.914893617021278,4.876190476190477,0.794921875
Comuna 1,Congreso 2026,Cámara,NA,5,215,0.3664467279610601,22,CONSEJO COMUNITARIO EL NARANJO,126,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,25,111,70,50,326,446,101,30.981595092024538,38.65030674846626,34.04907975460122,2.728909616860499,0.6335532720389399
Comuna 1,Congreso 2026,Senado,NA,0,17054,0.29173333873930407,16,PACTO HISTÓRICO SENADO,8666,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1834,542,376,344,17596,18316,6832,38.82700613775858,49.24982950670607,3.0802455103432598,3.4277878706677756,0.7082666612606959
Comuna 1,Congreso 2026,Senado,NA,4,37,0.17604090577063553,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",8,25,32,6,62,100,2,3.225806451612903,16.129032258064516,40.32258064516129,5.680497925311203,0.8239590942293644
Comuna 1,Presidencia 2026,Presidencia,1V,0,22669,0.4718191384215149,11,IVÁN CEPEDA CASTRO,14283,ABELARDO DE LA ESPRIELLA,6037,533,255,64,23202,23521,8246,35.54003965175416,61.559348332040344,2.297215757262305,2.119456203802012,0.5281808615784851
Comuna 1,Presidencia 2026,Presidencia,2V,0,25605,0.5882147633593917,2,IVÁN CEPEDA CASTRO,18180,ABELARDO DE LA ESPRIELLA,7425,406,185,20,26011,26216,10755,41.34789127676753,69.89350659336434,1.5608780900388297,1.7000593359623188,0.4117852366406083
Comuna 10,Congreso 2026,Consultas,NA,0,14184,0.6814813363420538,3,LA GRAN CONSULTA POR COLOMBIA,11555,FRENTE POR LA VIDA,1570,0,1536,675,14184,16395,9985,70.39622109419064,81.46503102086858,0.0,1.4673916168675134,0.31851866365794623
Comuna 10,Congreso 2026,Cámara,NA,1,39084,0.20271817759430702,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,15052,PARTIDO CENTRO DEMOCRÁTICO,5789,1204,606,238,40288,41132,9263,22.991957903097695,37.361000794281175,2.9884829229547263,4.932956737610704,0.797281822405693
Comuna 10,Congreso 2026,Cámara,NA,4,61,0.2281644719161516,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",22,PARTIDO INDÍGENA COLOMBIANO P.I.C,15,26,3,0,87,90,7,8.045977011494253,25.287356321839084,29.88505747126437,4.3828032979976435,0.7718355280838484
Comuna 10,Congreso 2026,Cámara,NA,5,1113,0.22004021734479956,40,CONSEJO COMUNITARIO EL NARANJO,479,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,146,270,84,62,1383,1529,333,24.07809110629067,34.63485177151121,19.522776572668114,4.544623760451098,0.7799597826552005
Comuna 10,Congreso 2026,Senado,NA,0,40700,0.19804026224124505,16,PACTO HISTÓRICO SENADO,15598,PARTIDO CENTRO DEMOCRÁTICO,5881,1163,534,382,41863,42779,9717,23.211427752430545,37.259632611136325,2.778109547810716,5.049478266100448,0.801959737758755
Comuna 10,Congreso 2026,Senado,NA,4,64,0.15576171875,9,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,15,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",12,48,15,15,112,142,3,2.6785714285714284,13.392857142857142,42.857142857142854,6.420062695924765,0.84423828125
Comuna 10,Presidencia 2026,Presidencia,1V,0,51768,0.3931135647730524,11,IVÁN CEPEDA CASTRO,25001,ABELARDO DE LA ESPRIELLA,20298,1054,271,70,52822,53163,4703,8.903487183370565,47.330657680511905,1.9953807125818785,2.5437941847092147,0.6068864352269476
Comuna 10,Presidencia 2026,Presidencia,2V,0,54484,0.5069812627000911,2,IVÁN CEPEDA CASTRO,30461,ABELARDO DE LA ESPRIELLA,24023,1032,279,17,55516,55812,6438,11.596656819655594,54.86886663304272,1.858923553570142,1.9724594843489474,0.49301873729990886
Comuna 11,Congreso 2026,Consultas,NA,0,9328,0.6249706935573084,3,LA GRAN CONSULTA POR COLOMBIA,7212,FRENTE POR LA VIDA,1311,0,1256,717,9328,11301,5901,63.261149228130364,77.31560891938251,0.0,1.6000750280113771,0.3750293064426916
Comuna 11,Congreso 2026,Cámara,NA,1,33936,0.24200703925085376,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,15153,PARTIDO CENTRO DEMOCRÁTICO,3794,955,665,316,34891,35872,11359,32.555673382820785,43.42953770313262,2.737095526066894,4.132111210878641,0.7579929607491462
Comuna 11,Congreso 2026,Cámara,NA,4,44,0.20454545454545453,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",12,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,12,33,11,8,77,96,0,0.0,15.584415584415584,42.857142857142854,4.888888888888889,0.7954545454545454
Comuna 11,Congreso 2026,Cámara,NA,5,1111,0.17226718171367092,42,CONSEJO COMUNITARIO EL NARANJO,405,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,116,239,139,81,1350,1570,289,21.40740740740741,30.0,17.703703703703706,5.804936204634276,0.827732818286329
Comuna 11,Congreso 2026,Senado,NA,0,35390,0.24280556517889987,16,PACTO HISTÓRICO SENADO,16005,PARTIDO CENTRO DEMOCRÁTICO,3760,1084,666,493,36474,37633,12245,33.57185940670067,43.88057246257608,2.9719800405768493,4.118521745015181,0.7571944348211002
Comuna 11,Congreso 2026,Senado,NA,4,55,0.16495867768595038,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",15,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,10,42,12,12,97,121,5,5.154639175257731,15.463917525773196,43.29896907216495,6.062124248496995,0.8350413223140496
Comuna 11,Presidencia 2026,Presidencia,1V,0,43890,0.4339813430923982,11,IVÁN CEPEDA CASTRO,24954,ABELARDO DE LA ESPRIELLA,14331,929,382,77,44819,45278,10623,23.702001383341887,55.67727972511658,2.072781632789665,2.304246521001,0.5660186569076018
Comuna 11,Presidencia 2026,Presidencia,2V,0,47861,0.5409981771048207,2,IVÁN CEPEDA CASTRO,30783,ABELARDO DE LA ESPRIELLA,17078,787,321,20,48648,48989,13705,28.17176451241572,63.27701036013813,1.6177437921394509,1.8484350637770186,0.4590018228951793
Comuna 12,Congreso 2026,Consultas,NA,0,5322,0.6182132945700142,3,LA GRAN CONSULTA POR COLOMBIA,4089,FRENTE POR LA VIDA,739,0,802,513,5322,6637,3350,62.94626080420894,76.83201803833146,0.0,1.617564696170971,0.38178670542998583
Comuna 12,Congreso 2026,Cámara,NA,1,24606,0.253248426775518,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,11400,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,2336,621,564,245,25227,26036,9064,35.92975779918341,45.18967772624569,2.4616482340349624,3.948691854604926,0.746751573224482
Comuna 12,Congreso 2026,Cámara,NA,4,19,0.21329639889196675,6,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",6,FUERZA ANCESTRAL,4,21,1,6,40,47,2,5.0,15.0,52.5,4.688311688311688,0.7867036011080333
Comuna 12,Congreso 2026,Cámara,NA,5,510,0.257762399077278,35,CONSEJO COMUNITARIO EL NARANJO,244,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,59,148,119,63,658,840,185,28.11550151975684,37.08206686930091,22.492401215805472,3.8795417934490777,0.7422376009227221
Comuna 12,Congreso 2026,Senado,NA,0,25260,0.2587023005085981,16,PACTO HISTÓRICO SENADO,11949,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,2417,745,577,397,26005,26979,9532,36.654489521245914,45.94885598923284,2.864833685829648,3.8654468786479326,0.7412976994914019
Comuna 12,Congreso 2026,Senado,NA,4,20,0.21500000000000002,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",7,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",4,28,8,13,48,69,3,6.25,14.583333333333334,58.333333333333336,4.651162790697674,0.7849999999999999
Comuna 12,Presidencia 2026,Presidencia,1V,0,30887,0.4562024307817044,11,IVÁN CEPEDA CASTRO,18453,ABELARDO DE LA ESPRIELLA,9577,580,265,61,31467,31793,8876,28.20732831220008,58.642387262846796,1.8432008135507039,2.1920093636644955,0.5437975692182956
Comuna 12,Presidencia 2026,Presidencia,2V,0,33687,0.5553183290079856,2,IVÁN CEPEDA CASTRO,22446,ABELARDO DE LA ESPRIELLA,11241,516,187,18,34203,34408,11205,32.760284185597754,65.6258222962898,1.5086395930181562,1.8007689423585005,0.4446816709920144
Comuna 13,Congreso 2026,Consultas,NA,0,9131,0.5615281630460659,3,LA GRAN CONSULTA POR COLOMBIA,6589,FRENTE POR LA VIDA,1564,0,1712,1342,9131,12185,5025,55.03230752381996,72.16077099989047,0.0,1.7808545782911396,0.4384718369539341
Comuna 13,Congreso 2026,Cámara,NA,1,44420,0.28829770815641537,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,22244,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,5774,1401,1550,812,45821,48183,16470,35.944217716767426,48.545426769385216,3.0575500316448787,3.4686366617158537,0.7117022918435847
Comuna 13,Congreso 2026,Cámara,NA,4,97,0.16824317143160802,10,PARTIDO INDÍGENA COLOMBIANO P.I.C,28,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",20,57,11,25,154,190,8,5.194805194805195,18.181818181818183,37.01298701298701,5.943777637397347,0.831756828568392
Comuna 13,Congreso 2026,Cámara,NA,5,1606,0.1554987600979515,45,CONSEJO COMUNITARIO EL NARANJO,567,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,172,370,315,161,1976,2452,395,19.989878542510123,28.694331983805665,18.724696356275302,6.430919445081631,0.8445012399020485
Comuna 13,Congreso 2026,Senado,NA,0,46383,0.2984739741019642,16,PACTO HISTÓRICO SENADO,23975,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,5147,1555,1491,1184,47938,50613,18828,39.27573115273895,50.012516166715336,3.2437732070591183,3.350375867808098,0.7015260258980358
Comuna 13,Congreso 2026,Senado,NA,4,130,0.15680473372781067,10,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,34,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",21,82,39,48,212,299,13,6.132075471698113,16.037735849056602,38.67924528301887,6.377358490566037,0.8431952662721893
Comuna 13,Presidencia 2026,Presidencia,1V,0,58810,0.5018683814026077,11,IVÁN CEPEDA CASTRO,39069,ABELARDO DE LA ESPRIELLA,14071,1385,927,240,60195,61362,24998,41.52836614336739,64.90406179915276,2.3008555527867762,1.9925542972147956,0.4981316185973923
Comuna 13,Presidencia 2026,Presidencia,2V,0,67011,0.6141403180797889,2,IVÁN CEPEDA CASTRO,49514,ABELARDO DE LA ESPRIELLA,17497,945,648,68,67956,68672,32017,47.11430925893225,72.86185178645006,1.3906056860321385,1.6282923797067503,0.38585968192021114
Comuna 14,Congreso 2026,Consultas,NA,0,6625,0.525449546457814,3,LA GRAN CONSULTA POR COLOMBIA,4558,FRENTE POR LA VIDA,1308,0,1377,971,6625,8973,3250,49.056603773584904,68.8,0.0,1.903132292607822,0.47455045354218595
Comuna 14,Congreso 2026,Cámara,NA,1,42228,0.3228164310785883,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,22918,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3731,1313,1704,924,43541,46169,19187,44.066512023150594,52.63544704990698,3.0155485634229806,3.0977357523556606,0.6771835689214116
