territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
Corregimiento El Saladito,Congreso 2026,Consultas,NA,0,279.0,0.6973317403424931,3,LA GRAN CONSULTA POR COLOMBIA,230.0,FRENTE POR LA VIDA,34.0,0.0,35.0,23.0,279.0,337.0,196.0,70.25089605734766,82.43727598566308,0.0,1.4340376927470015,0.3026682596575069
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,1031.0,0.18581020376100346,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,345.0,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,181.0,29.0,37.0,21.0,1060.0,1118.0,164.0,15.471698113207546,32.54716981132076,2.7358490566037736,5.381835764446177,0.8141897962389966
Corregimiento El Saladito,Congreso 2026,Cámara,NA,4,1.0,1.0,1,FUERZA ANCESTRAL,1.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,50.0,50.0,50.0,1.0,0.0
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,13.0,0.21893491124260359,6,CONSEJO COMUNITARIO EL NARANJO,4.0,CRISTIANOS POR COLOMBIA AFROS,3.0,3.0,2.0,0.0,16.0,18.0,1.0,6.25,25.0,18.75,4.567567567567567,0.7810650887573964
Corregimiento El Saladito,Congreso 2026,Senado,NA,0,1065.0,0.18722299367409467,13,PACTO HISTÓRICO SENADO,381.0,PARTIDO LIBERAL COLOMBIANO,158.0,30.0,19.0,25.0,1095.0,1139.0,223.0,20.365296803652967,34.794520547945204,2.73972602739726,5.341224282209339,0.8127770063259053
Corregimiento El Saladito,Congreso 2026,Senado,NA,4,0.0,0.0,0,,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,,1.0
Corregimiento El Saladito,Presidencia 2026,Presidencia,1V,0,1365.0,0.43406405560251715,10,IVÁN CEPEDA CASTRO,766.0,ABELARDO DE LA ESPRIELLA,463.0,27.0,16.0,4.0,1392.0,1412.0,303.0,21.767241379310345,55.02873563218391,1.9396551724137931,2.3038074383098053,0.5659359443974828
Corregimiento El Saladito,Presidencia 2026,Presidencia,2V,0,1545.0,0.531696567903562,2,IVÁN CEPEDA CASTRO,967.0,ABELARDO DE LA ESPRIELLA,578.0,35.0,10.0,3.0,1580.0,1593.0,389.0,24.620253164556964,61.20253164556962,2.2151898734177213,1.8807719672574186,0.468303432096438
Corregimiento Felidia,Congreso 2026,Consultas,NA,0,143.0,0.6973935155753338,3,LA GRAN CONSULTA POR COLOMBIA,118.0,FRENTE POR LA VIDA,16.0,0.0,25.0,7.0,143.0,175.0,102.0,71.32867132867133,82.51748251748252,0.0,1.4339106654512306,0.3026064844246662
Corregimiento Felidia,Congreso 2026,Cámara,NA,1,700.0,0.21614285714285714,12,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,263.0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,142.0,26.0,30.0,13.0,726.0,769.0,121.0,16.666666666666664,36.225895316804404,3.581267217630854,4.626569729015202,0.7838571428571428
