municipio_codigo,municipio,dane_codigo,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
001,CALI,76001,Congreso 2026,Consultas,NA,0,262312.0,0.6827534930506978,3,LA GRAN CONSULTA POR COLOMBIA,213876.0,FRENTE POR LA VIDA,29815.0,0.0,30802.0,15720.0,262312.0,308834.0,184061.0,70.16873036689134,81.53496599469334,0.0,1.464657464485129,0.31724650694930223
001,CALI,76001,Congreso 2026,Cámara,NA,1,775449.0,0.2227163672264498,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,320083.0,PARTIDO CENTRO DEMOCRÁTICO,121281.0,22482.0,16086.0,8378.0,797931.0,822395.0,198802.0,24.91468560564761,40.114120143220404,2.817536854690443,4.490015765133403,0.7772836327735502
001,CALI,76001,Congreso 2026,Cámara,NA,4,1399.0,0.17280442836479237,10,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",377.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,301.0,941.0,210.0,286.0,2340.0,2836.0,76.0,3.2478632478632483,16.11111111111111,40.21367521367522,5.786888735796673,0.8271955716352076
001,CALI,76001,Congreso 2026,Cámara,NA,5,22375.0,0.19549861939390153,46,CONSEJO COMUNITARIO EL NARANJO,9004.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,2752.0,5426.0,3063.0,1921.0,27801.0,32785.0,6252.0,22.488399697852596,32.387324196971335,19.517283550951404,5.115125636693854,0.8045013806060984
001,CALI,76001,Congreso 2026,Senado,NA,0,806304.0,0.22008660227143612,16,PACTO HISTÓRICO SENADO,334824.0,PARTIDO CENTRO DEMOCRÁTICO,118679.0,23743.0,15792.0,12119.0,830047.0,857958.0,216145.0,26.040091705650404,40.3379567663036,2.8604404328911497,4.543665946401794,0.7799133977285639
001,CALI,76001,Congreso 2026,Senado,NA,4,1648.0,0.17473298025261572,10,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,416.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",366.0,1182.0,480.0,504.0,2830.0,3814.0,50.0,1.76678445229682,14.69964664310954,41.76678445229682,5.723018050480658,0.8252670197473843
001,CALI,76001,Presidencia 2026,Presidencia,1V,0,1035018.0,0.4109740216283213,11,IVÁN CEPEDA CASTRO,544090.0,ABELARDO DE LA ESPRIELLA,372622.0,20312.0,9053.0,2240.0,1055330.0,1066623.0,171468.0,16.24780874228914,51.55638520652308,1.9247060161276568,2.433243824117878,0.5890259783716787
001,CALI,76001,Presidencia 2026,Presidencia,2V,0,1125074.0,0.5226056668607835,2,IVÁN CEPEDA CASTRO,682149.0,ABELARDO DE LA ESPRIELLA,442925.0,18487.0,6847.0,710.0,1143561.0,1151118.0,239224.0,20.919216377613438,59.65129975576292,1.6166168660875984,1.9134886271074234,0.47739433313921653
004,ALCALA,76020,Congreso 2026,Consultas,NA,0,1136.0,0.6680113692719698,3,LA GRAN CONSULTA POR COLOMBIA,915.0,FRENTE POR LA VIDA,125.0,0.0,157.0,186.0,1136.0,1479.0,790.0,69.54225352112677,80.54577464788733,0.0,1.4969805096129531,0.3319886307280302
004,ALCALA,76020,Congreso 2026,Cámara,NA,1,4961.0,0.21971868378228226,14,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1616.0,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,1340.0,101.0,310.0,154.0,5062.0,5526.0,276.0,5.452390359541683,31.924140655867244,1.9952587909917028,4.551274305788638,0.7802813162177178
