municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
001,CALI,01,Congreso 2026,Consultas,NA,0,3872.0,0.6174735118844341,3,LA GRAN CONSULTA POR COLOMBIA,2974.0,FRENTE POR LA VIDA,518.0,0.0,562.0,457.0,3872.0,4891.0,2456.0,63.42975206611571,76.80785123966942,0.0,1.6195026681357616,0.3825264881155659
001,CALI,01,Congreso 2026,Cámara,NA,1,16662.0,0.28806301270297346,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,8324.0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1933.0,487.0,414.0,267.0,17149.0,17830.0,6391.0,37.2674791533034,48.53927342702198,2.839815732695784,3.4714626866418166,0.7119369872970265
001,CALI,01,Congreso 2026,Cámara,NA,4,32.0,0.205078125,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",11.0,PARTIDO INDÍGENA COLOMBIANO P.I.C,6.0,15.0,1.0,5.0,47.0,53.0,5.0,10.638297872340425,23.404255319148938,31.914893617021278,4.876190476190477,0.794921875
001,CALI,01,Congreso 2026,Cámara,NA,5,215.0,0.3664467279610601,22,CONSEJO COMUNITARIO EL NARANJO,126.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,25.0,111.0,70.0,50.0,326.0,446.0,101.0,30.981595092024538,38.65030674846626,34.04907975460122,2.728909616860499,0.6335532720389399
001,CALI,01,Congreso 2026,Senado,NA,0,17054.0,0.29173333873930407,16,PACTO HISTÓRICO SENADO,8666.0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1834.0,542.0,376.0,344.0,17596.0,18316.0,6832.0,38.82700613775858,49.24982950670607,3.0802455103432598,3.4277878706677756,0.7082666612606959
001,CALI,01,Congreso 2026,Senado,NA,4,37.0,0.17604090577063553,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10.0,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",8.0,25.0,32.0,6.0,62.0,100.0,2.0,3.225806451612903,16.129032258064516,40.32258064516129,5.680497925311203,0.8239590942293644
001,CALI,01,Presidencia 2026,Presidencia,1V,0,22669.0,0.4718191384215149,11,IVÁN CEPEDA CASTRO,14283.0,ABELARDO DE LA ESPRIELLA,6037.0,533.0,255.0,64.0,23202.0,23521.0,8246.0,35.54003965175416,61.559348332040344,2.297215757262305,2.119456203802012,0.5281808615784851
001,CALI,01,Presidencia 2026,Presidencia,2V,0,25605.0,0.5882147633593917,2,IVÁN CEPEDA CASTRO,18180.0,ABELARDO DE LA ESPRIELLA,7425.0,406.0,185.0,20.0,26011.0,26216.0,10755.0,41.34789127676753,69.89350659336434,1.5608780900388297,1.7000593359623188,0.4117852366406083
001,CALI,02,Congreso 2026,Consultas,NA,0,17328.0,0.7788643042947798,3,LA GRAN CONSULTA POR COLOMBIA,15212.0,FRENTE POR LA VIDA,1388.0,0.0,1424.0,428.0,17328.0,19180.0,13824.0,79.77839335180056,87.78855032317637,0.0,1.283920696436906,0.22113569570522018
001,CALI,02,Congreso 2026,Cámara,NA,1,29150.0,0.20963378044008482,14,PARTIDO CENTRO DEMOCRÁTICO,9759.0,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,7997.0,669.0,212.0,87.0,29819.0,30118.0,1762.0,5.9089842047017,32.7274556490828,2.2435360005365705,4.770223567502799,0.7903662195599152
001,CALI,02,Congreso 2026,Cámara,NA,4,43.0,0.16062736614386156,9,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,11.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",8.0,48.0,16.0,6.0,91.0,113.0,3.0,3.296703296703297,12.087912087912088,52.74725274725275,6.225589225589225,0.8393726338561385
001,CALI,02,Congreso 2026,Cámara,NA,5,804.0,0.25433776391673474,35,CONSEJO COMUNITARIO EL NARANJO,352.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,182.0,235.0,76.0,40.0,1039.0,1155.0,170.0,16.361886429258902,33.87872954764196,22.617901828681426,3.9317794754513162,0.7456622360832652
001,CALI,02,Congreso 2026,Senado,NA,0,30392.0,0.19435342696963587,16,PARTIDO CENTRO DEMOCRÁTICO,9485.0,PACTO HISTÓRICO SENADO,8145.0,730.0,216.0,141.0,31122.0,31479.0,1340.0,4.305635884583253,30.476833108412055,2.3456076087655036,5.145265589560361,0.8056465730303641
001,CALI,02,Congreso 2026,Senado,NA,4,55.0,0.19735537190082644,10,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",17.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,12.0,32.0,8.0,3.0,87.0,98.0,5.0,5.747126436781609,19.54022988505747,36.7816091954023,5.067001675041876,0.8026446280991736
001,CALI,02,Presidencia 2026,Presidencia,1V,0,39052.0,0.39543783751946643,11,ABELARDO DE LA ESPRIELLA,20008.0,IVÁN CEPEDA CASTRO,13814.0,569.0,132.0,34.0,39621.0,39787.0,6194.0,15.633123848464198,50.49847303197799,1.4361071149138083,2.528842475654021,0.6045621624805335
001,CALI,02,Presidencia 2026,Presidencia,2V,0,42237.0,0.506141311967124,2,ABELARDO DE LA ESPRIELLA,23459.0,IVÁN CEPEDA CASTRO,18778.0,706.0,113.0,11.0,42943.0,43067.0,4681.0,10.900496006333977,54.62822811634026,1.6440397736534476,1.9757328168164907,0.493858688032876
001,CALI,03,Congreso 2026,Consultas,NA,0,14347.0,0.7520904477108323,3,LA GRAN CONSULTA POR COLOMBIA,12357.0,FRENTE POR LA VIDA,1252.0,0.0,1456.0,431.0,14347.0,16234.0,11105.0,77.40294138147348,86.1295044260124,0.0,1.3296273115071995,0.24790955228916767
001,CALI,03,Congreso 2026,Cámara,NA,1,27032.0,0.18053092961584621,14,PARTIDO CENTRO DEMOCRÁTICO,7501.0,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,7309.0,688.0,255.0,130.0,27720.0,28105.0,192.0,0.6926406926406926,27.059884559884562,2.481962481962482,5.53921703127498,0.8194690703841538
001,CALI,03,Congreso 2026,Cámara,NA,4,25.0,0.20320000000000002,7,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",8.0,PARTIDO INDÍGENA COLOMBIANO P.I.C,5.0,14.0,3.0,3.0,39.0,45.0,3.0,7.6923076923076925,20.51282051282051,35.8974358974359,4.921259842519684,0.7968
001,CALI,03,Congreso 2026,Cámara,NA,5,710.0,0.23457250545526678,32,CONSEJO COMUNITARIO EL NARANJO,279.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,180.0,160.0,42.0,31.0,870.0,943.0,99.0,11.379310344827587,32.068965517241374,18.39080459770115,4.263074216900075,0.7654274945447332
001,CALI,03,Congreso 2026,Senado,NA,0,27959.0,0.16909016553507691,16,PACTO HISTÓRICO SENADO,7417.0,PARTIDO CENTRO DEMOCRÁTICO,7208.0,693.0,256.0,166.0,28652.0,29074.0,209.0,0.7294429708222812,25.886500069803155,2.4186793243054585,5.914004500708558,0.8309098344649231
001,CALI,03,Congreso 2026,Senado,NA,4,39.0,0.22024983563445102,7,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",12.0,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",11.0,36.0,4.0,9.0,75.0,88.0,1.0,1.3333333333333335,16.0,48.0,4.540298507462686,0.779750164365549
001,CALI,03,Presidencia 2026,Presidencia,1V,0,35481.0,0.4000760810997328,11,ABELARDO DE LA ESPRIELLA,18829.0,IVÁN CEPEDA CASTRO,11806.0,490.0,131.0,40.0,35971.0,36142.0,7023.0,19.524061049178503,52.34494453865614,1.3622084456923633,2.4995245835521853,0.5999239189002672
001,CALI,03,Presidencia 2026,Presidencia,2V,0,36614.0,0.5170741714015126,2,ABELARDO DE LA ESPRIELLA,21690.0,IVÁN CEPEDA CASTRO,14924.0,663.0,100.0,12.0,37277.0,37389.0,6766.0,18.150602248034982,58.1860128229203,1.7785766021943827,1.933958521442935,0.4829258285984874
001,CALI,04,Congreso 2026,Consultas,NA,0,6289.0,0.724034178104048,3,LA GRAN CONSULTA POR COLOMBIA,5302.0,FRENTE POR LA VIDA,632.0,0.0,641.0,265.0,6289.0,7195.0,4670.0,74.2566385752902,84.30593099061853,0.0,1.3811502692022006,0.275965821895952
001,CALI,04,Congreso 2026,Cámara,NA,1,16307.0,0.210370755712971,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,6169.0,PARTIDO CENTRO DEMOCRÁTICO,3294.0,381.0,213.0,123.0,16688.0,17024.0,2875.0,17.227948226270374,36.966682646212845,2.283077660594439,4.753512419589327,0.789629244287029
001,CALI,04,Congreso 2026,Cámara,NA,4,16.0,0.1875,6,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",4.0,FUERZA ANCESTRAL,3.0,13.0,3.0,1.0,29.0,33.0,1.0,3.4482758620689653,13.793103448275861,44.827586206896555,5.333333333333333,0.8125
001,CALI,04,Congreso 2026,Cámara,NA,5,300.0,0.23348888888888888,28,CONSEJO COMUNITARIO EL NARANJO,132.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,46.0,52.0,44.0,21.0,352.0,417.0,86.0,24.431818181818183,37.5,14.772727272727273,4.282859046350052,0.7665111111111111
001,CALI,04,Congreso 2026,Senado,NA,0,16787.0,0.20491001653000113,16,PACTO HISTÓRICO SENADO,6316.0,PARTIDO CENTRO DEMOCRÁTICO,3267.0,380.0,196.0,205.0,17167.0,17568.0,3049.0,17.760820178248967,36.791518611289106,2.2135492514708455,4.880190909816206,0.7950899834699989
001,CALI,04,Congreso 2026,Senado,NA,4,13.0,0.15976331360946747,8,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",3.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,3.0,18.0,4.0,8.0,31.0,43.0,0.0,0.0,9.67741935483871,58.06451612903226,6.259259259259259,0.8402366863905325
001,CALI,04,Presidencia 2026,Presidencia,1V,0,20819.0,0.39802746487575674,11,IVÁN CEPEDA CASTRO,9644.0,ABELARDO DE LA ESPRIELLA,8780.0,338.0,94.0,36.0,21157.0,21287.0,864.0,4.0837547856501395,45.583022167604106,1.5975799971640594,2.5123894410456007,0.6019725351242433
001,CALI,04,Presidencia 2026,Presidencia,2V,0,22265.0,0.5013736190888907,2,IVÁN CEPEDA CASTRO,11716.0,ABELARDO DE LA ESPRIELLA,10549.0,356.0,91.0,16.0,22621.0,22728.0,1167.0,5.158923124530303,51.792582113964905,1.573758896600504,1.994520576924702,0.49862638091110933
001,CALI,05,Congreso 2026,Consultas,NA,0,7223.0,0.6643034391288815,3,LA GRAN CONSULTA POR COLOMBIA,5797.0,FRENTE POR LA VIDA,847.0,0.0,919.0,429.0,7223.0,8571.0,4950.0,68.53108126817112,80.25751072961373,0.0,1.5053361778637278,0.33569656087111854
001,CALI,05,Congreso 2026,Cámara,NA,1,24001.0,0.23459630927527514,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,10427.0,PARTIDO CENTRO DEMOCRÁTICO,3102.0,749.0,452.0,218.0,24750.0,25420.0,7325.0,29.5959595959596,42.12929292929293,3.026262626262626,4.262641654888955,0.7654036907247248
001,CALI,05,Congreso 2026,Cámara,NA,4,41.0,0.18262938726948247,9,PARTIDO INDÍGENA COLOMBIANO P.I.C,11.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",9.0,18.0,4.0,3.0,59.0,66.0,2.0,3.389830508474576,18.64406779661017,30.508474576271187,5.475570032573289,0.8173706127305176
001,CALI,05,Congreso 2026,Cámara,NA,5,606.0,0.22686229018941498,34,CONSEJO COMUNITARIO EL NARANJO,268.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,69.0,132.0,57.0,23.0,738.0,818.0,199.0,26.964769647696478,36.31436314363143,17.88617886178862,4.407960437872095,0.773137709810585
001,CALI,05,Congreso 2026,Senado,NA,0,24871.0,0.23262005330158114,16,PACTO HISTÓRICO SENADO,10884.0,PARTIDO CENTRO DEMOCRÁTICO,2996.0,730.0,412.0,350.0,25601.0,26363.0,7888.0,30.81129643373306,42.5139642982696,2.851451115190813,4.298855519147983,0.7673799466984188
