territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Corregimiento El Saladito,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",15,279,0.0,279.0,5.376344086021505
Corregimiento El Saladito,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,34,279,0.0,279.0,12.186379928315413
Corregimiento El Saladito,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,230,279,0.0,279.0,82.43727598566308
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,49,1031,29.0,1060.0,4.622641509433962
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,1,1031,29.0,1060.0,0.09433962264150944
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,181,1031,29.0,1060.0,17.075471698113205
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,44,1031,29.0,1060.0,4.150943396226415
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,2,1031,29.0,1060.0,0.18867924528301888
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",1,1031,29.0,1060.0,0.09433962264150944
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,345,1031,29.0,1060.0,32.54716981132076
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,30,1031,29.0,1060.0,2.8301886792452833
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,32,1031,29.0,1060.0,3.018867924528302
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,131,1031,29.0,1060.0,12.358490566037736
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,109,1031,29.0,1060.0,10.283018867924529
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,102,1031,29.0,1060.0,9.622641509433963
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,3,1031,29.0,1060.0,0.2830188679245283
Corregimiento El Saladito,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,1,1031,29.0,1060.0,0.09433962264150944
Corregimiento El Saladito,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,1,1,1.0,2.0,50.0
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,1,13,3.0,16.0,6.25
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,1,13,3.0,16.0,6.25
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,4,13,3.0,16.0,25.0
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,3,13,3.0,16.0,18.75
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,CRISTIANOS POR COLOMBIA AFROS,3,13,3.0,16.0,18.75
Corregimiento El Saladito,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",1,13,3.0,16.0,6.25
