municipio_codigo,municipio,dane_codigo,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,76001,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",18621,262312,0.0,262312.0,7.09879837750465
001,CALI,76001,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,29815,262312,0.0,262312.0,11.366235627802007
001,CALI,76001,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,213876,262312,0.0,262312.0,81.53496599469334
001,CALI,76001,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,53471,775449,22482.0,797931.0,6.701205994001988
001,CALI,76001,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,1957,775449,22482.0,797931.0,0.24525930186945988
001,CALI,76001,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,55121,775449,22482.0,797931.0,6.907990791183699
001,CALI,76001,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,43608,775449,22482.0,797931.0,5.4651342033333705
001,CALI,76001,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,5013,775449,22482.0,797931.0,0.6282498110738898
001,CALI,76001,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",439,775449,22482.0,797931.0,0.05501728846228559
001,CALI,76001,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,320083,775449,22482.0,797931.0,40.114120143220404
001,CALI,76001,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,39400,775449,22482.0,797931.0,4.937770308460256
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,28872,775449,22482.0,797931.0,3.618357978321434
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,121281,775449,22482.0,797931.0,15.199434537572799
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,27638,775449,22482.0,797931.0,3.4637080148534145
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,76028,775449,22482.0,797931.0,9.528142157655235
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,1645,775449,22482.0,797931.0,0.2061581765841909
001,CALI,76001,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,893,775449,22482.0,797931.0,0.11191443871713218
001,CALI,76001,Congreso 2026,Cámara,NA,4,ACMIZSAM,43,1399,941.0,2340.0,1.8376068376068377
001,CALI,76001,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,80,1399,941.0,2340.0,3.418803418803419
001,CALI,76001,Congreso 2026,Cámara,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",87,1399,941.0,2340.0,3.717948717948718
001,CALI,76001,Congreso 2026,Cámara,NA,4,CABILDO INDÉGENA TEVIS,46,1399,941.0,2340.0,1.9658119658119657
001,CALI,76001,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,155,1399,941.0,2340.0,6.623931623931624
001,CALI,76001,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",377,1399,941.0,2340.0,16.11111111111111
001,CALI,76001,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,301,1399,941.0,2340.0,12.863247863247862
001,CALI,76001,Congreso 2026,Cámara,NA,4,PARTIDO INDÉGENA ZENÚ (PIZ),38,1399,941.0,2340.0,1.6239316239316242
001,CALI,76001,Congreso 2026,Cámara,NA,4,PARTIDO INDÍGENA COLOMBIANO P.I.C,248,1399,941.0,2340.0,10.598290598290598
001,CALI,76001,Congreso 2026,Cámara,NA,4,TRIETNICO GOBERNATIVO TRIGO,24,1399,941.0,2340.0,1.0256410256410255
