_valle,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
VALLE DEL CAUCA,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",35903,456842,0,456842,7.858953423721987
VALLE DEL CAUCA,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,59887,456842,0,456842,13.108908550439757
VALLE DEL CAUCA,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,361052,456842,0,456842,79.03213802583825
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,91391,1621544,41934,1663478,5.4939710654424045
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,4033,1621544,41934,1663478,0.24244384356150186
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,145370,1621544,41934,1663478,8.738919300405536
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,96135,1621544,41934,1663478,5.779156682565083
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,10767,1621544,41934,1663478,0.6472583346458444
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",1171,1621544,41934,1663478,0.07039467910005422
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,595362,1621544,41934,1663478,35.79019379877582
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,61233,1621544,41934,1663478,3.6810225323088135
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,75002,1621544,41934,1663478,4.508746133101851
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,187644,1621544,41934,1663478,11.28022131942833
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,76925,1621544,41934,1663478,4.624347301256764
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,271184,1621544,41934,1663478,16.302229425336552
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,3723,1621544,41934,1663478,0.22380818982878042
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,1604,1621544,41934,1663478,0.0964244793138232
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,ACMIZSAM,76,5700,1689,7389,1.0285559615644877
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,122,5700,1689,7389,1.651102990932467
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",134,5700,1689,7389,1.8135065638110706
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,CABILDO INDÉGENA TEVIS,79,5700,1689,7389,1.0691568547841386
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,234,5700,1689,7389,3.1668696711327646
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",2770,5700,1689,7389,37.48815807281093
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,1643,5700,1689,7389,22.235755853295437
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,PARTIDO INDÉGENA ZENÚ (PIZ),66,5700,1689,7389,0.8932196508323184
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,PARTIDO INDÍGENA COLOMBIANO P.I.C,537,5700,1689,7389,7.267559886317498
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,4,TRIETNICO GOBERNATIVO TRIGO,39,5700,1689,7389,0.5278116118554608
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,AFRO CYC,71,40040,9935,49975,0.14207103551775888
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,AFROEMPRENDIMIENTO,768,40040,9935,49975,1.536768384192096
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,AFROSLIBRES,356,40040,9935,49975,0.7123561780890445
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",120,40040,9935,49975,0.240120060030015
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,210,40040,9935,49975,0.42021010505252626
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,ASOCIACIÓN ÉTNICA MUNDO DIVERSO INTERCULTURAL,64,40040,9935,49975,0.128064032016008
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,ASOCONEG,216,40040,9935,49975,0.43221610805402705
