municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,01,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",380,3872,0.0,3872.0,9.81404958677686
001,CALI,01,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,518,3872,0.0,3872.0,13.37809917355372
001,CALI,01,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,2974,3872,0.0,3872.0,76.80785123966942
001,CALI,01,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,915,16662,487.0,17149.0,5.335588080937664
001,CALI,01,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,37,16662,487.0,17149.0,0.21575602075922795
001,CALI,01,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,1114,16662,487.0,17149.0,6.496005597994052
001,CALI,01,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,902,16662,487.0,17149.0,5.259781911481719
001,CALI,01,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,99,16662,487.0,17149.0,0.5772931366260423
001,CALI,01,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",14,16662,487.0,17149.0,0.08163741326024841
001,CALI,01,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,8324,16662,487.0,17149.0,48.53927342702198
001,CALI,01,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,454,16662,487.0,17149.0,2.64738468715377
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,454,16662,487.0,17149.0,2.64738468715377
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,1827,16662,487.0,17149.0,10.653682430462418
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,541,16662,487.0,17149.0,3.154702898128171
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1933,16662,487.0,17149.0,11.271794273718584
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,29,16662,487.0,17149.0,0.1691060703248003
001,CALI,01,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,19,16662,487.0,17149.0,0.11079363228176571
001,CALI,01,Congreso 2026,Cámara,NA,4,ACMIZSAM,1,32,15.0,47.0,2.127659574468085
001,CALI,01,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,3,32,15.0,47.0,6.382978723404255
001,CALI,01,Congreso 2026,Cámara,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",1,32,15.0,47.0,2.127659574468085
001,CALI,01,Congreso 2026,Cámara,NA,4,CABILDO INDÉGENA TEVIS,1,32,15.0,47.0,2.127659574468085
001,CALI,01,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,4,32,15.0,47.0,8.51063829787234
001,CALI,01,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",11,32,15.0,47.0,23.404255319148938
001,CALI,01,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,5,32,15.0,47.0,10.638297872340425
001,CALI,01,Congreso 2026,Cámara,NA,4,PARTIDO INDÍGENA COLOMBIANO P.I.C,6,32,15.0,47.0,12.76595744680851
001,CALI,01,Congreso 2026,Cámara,NA,5,AFROEMPRENDIMIENTO,2,215,111.0,326.0,0.6134969325153374
001,CALI,01,Congreso 2026,Cámara,NA,5,AFROSLIBRES,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,ASOCONEG,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,15,215,111.0,326.0,4.601226993865031
001,CALI,01,Congreso 2026,Cámara,NA,5,COCOPEMA,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROZABALETAS,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO ALTO MIRA Y FRONTERA,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,9,215,111.0,326.0,2.7607361963190185
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,126,215,111.0,326.0,38.65030674846626
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,25,215,111.0,326.0,7.668711656441718
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NUEVA ESPERANZA,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO UNIÍN DEL RÍO ROSARIO,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",7,215,111.0,326.0,2.147239263803681
001,CALI,01,Congreso 2026,Cámara,NA,5,FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,FUNDACIÓN ORSUBA,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,1,215,111.0,326.0,0.3067484662576687
