DEP,MUN,ZONA,PUESTO,ID_PUESTO,PUESNOMBRE,territorio_tipo,territorio_codigo,territorio_nombre,barrio,latitud,longitud,metodo_cruce,estado_cruce,comuna_electoral,comuna_cartografica,correg_electoral,correg_cartografico
31,001,01,01,31-001-01-01,ESC. JOSE ACEVEDO Y GOMEZ,comuna,01,Comuna 1,,,,SOLO_ELECTORAL,NO_ENCONTRADO,1,,,
31,001,01,02,31-001-01-02,IE JOSE HOLGUIN GARCES,comuna,01,Comuna 1,,,,SOLO_ELECTORAL,NO_ENCONTRADO,1,,,
31,001,01,03,31-001-01-03,IE JOSE CELESTINO MUTIS,comuna,01,Comuna 1,,,,SOLO_ELECTORAL,NO_ENCONTRADO,1,,,
31,001,01,04,31-001-01-04,COLISEO BAJO AGUACATAL,comuna,01,Comuna 1,,,,SOLO_ELECTORAL,NO_ENCONTRADO,1,,,
31,001,01,05,31-001-01-05,IE CECILIA CABALLERO,comuna,01,Comuna 1,Vista Hermosa,3.454033033891556,-76.57731316633559,ID_EXACTO+ESPACIAL,EXACTO,1,1,,
31,001,01,06,31-001-01-06,SEDE MARICE SINISTERRA TERRON,comuna,01,Comuna 1,Terron Colorado,3.4522250072943743,-76.56734439979735,ID_EXACTO+ESPACIAL,EXACTO,1,1,,
31,001,01,07,31-001-01-07,COL SANTA ISABEL DE HUNGRIA AGUACATAL,comuna,01,Comuna 1,Terron Colorado,3.454956565791356,-76.55902228613482,ID_EXACTO+ESPACIAL,EXACTO,1,1,,
31,001,01,08,31-001-01-08,IE ISAIAS GAMBOA,comuna,01,Comuna 1,Aguacatal,3.4586074798209228,-76.55045271798146,ID_EXACTO+ESPACIAL,EXACTO,1,1,,
31,001,01,09,31-001-01-09,IE LUIS FERNANDO CAICEDO,comuna,01,Comuna 1,,,,SOLO_ELECTORAL,NO_ENCONTRADO,1,,,
31,001,02,01,31-001-02-01,INST UNIV ANTONIO JOSE CAMACHO,comuna,02,Comuna 2,Vista Hermosa,3.457121155315596,-76.5826152800038,ID_EXACTO+ESPACIAL,REQUIERE_VALIDACION,2,1,,
31,001,02,02,31-001-02-02,EDIFICIO FERROCARRILES NACIONALES,comuna,02,Comuna 2,Vista Hermosa,3.4527710571663803,-76.57618017680701,ID_EXACTO+ESPACIAL,REQUIERE_VALIDACION,2,1,,
31,001,02,03,31-001-02-03,C.A.M.,comuna,02,Comuna 2,Aguacatal,3.456347410555836,-76.56281982775414,ID_EXACTO+ESPACIAL,REQUIERE_VALIDACION,2,1,,
31,001,02,04,31-001-02-04,COLEGIO ODONTOLOGICO,comuna,02,Comuna 2,Aguacatal,3.462343711769519,-76.56033848195571,ID_EXACTO+ESPACIAL,REQUIERE_VALIDACION,2,1,,
31,001,02,05,31-001-02-05,ACADEMIA DE DIBUJO PROFESIONAL,comuna,02,Comuna 2,Santa Mónica,3.47097765036368,-76.52703550778197,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,02,06,31-001-02-06,COLEGIO HISPANOAMERICANO,comuna,02,Comuna 2,San Vicente,3.466520935662591,-76.52305206331621,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,01,31-001-03-01,PARQUE DE LAS ORQUIDEAS,comuna,02,Comuna 2,Centenario,3.4545191237065227,-76.53415952706058,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,02,31-001-03-02,IE SANTA CECILIA,comuna,02,Comuna 2,Granada,3.4561474942742154,-76.53300999645252,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,03,31-001-03-03,ESCUELA REPUBLICA DEL BRASIL,comuna,02,Comuna 2,Santa Mónica,3.4703909891832123,-76.53102907164174,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,04,31-001-03-04,ESCUELA BRISAS DE LOS ALAMOS,comuna,02,Comuna 2,Prados del Norte,3.473443454186896,-76.5224846379267,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,05,31-001-03-05,COLEGIO LEONISTICO LA MERCED,comuna,02,Comuna 2,Urbanización La Merced,3.4779034913700775,-76.51180643781319,ID_EXACTO+ESPACIAL,EXACTO,2,2,,
31,001,03,06,31-001-03-06,CORPORACION PARA LA TERCERA EDAD,comuna,02,Comuna 2,,,,SOLO_ELECTORAL,NO_ENCONTRADO,2,,,
31,001,04,01,31-001-04-01,ASAMBLEA DEPARTAMENTAL,comuna,03,Comuna 3,Ciudad Los Alamos,3.4882824978202387,-76.50874233576907,ID_EXACTO+ESPACIAL,REQUIERE_VALIDACION,3,2,,
