municipio_codigo,municipio,dane_codigo,dane_nombre,metodo
001,CALI,76001,CALI,EXACTO_NOMBRE
004,ALCALA,76020,ALCALÁ,EXACTO_NOMBRE
007,ANDALUCIA,76036,ANDALUCÍA,EXACTO_NOMBRE
010,ANSERMANUEVO,76041,ANSERMANUEVO,EXACTO_NOMBRE
013,ARGELIA,76054,ARGELIA,EXACTO_NOMBRE
016,BOLIVAR,76100,BOLÍVAR,EXACTO_NOMBRE
019,BUENAVENTURA,76109,BUENAVENTURA,EXACTO_NOMBRE
022,BUGA,76111,GUADALAJARA DE BUGA,EXACTO_NOMBRE
025,BUGALAGRANDE,76113,BUGALAGRANDE,EXACTO_NOMBRE
028,CAICEDONIA,76122,CAICEDONIA,EXACTO_NOMBRE
031,CANDELARIA,76130,CANDELARIA,EXACTO_NOMBRE
034,CARTAGO,76147,CARTAGO,EXACTO_NOMBRE
037,DAGUA,76233,DAGUA,EXACTO_NOMBRE
040,CALIMA (DARIEN),76126,CALIMA,EXACTO_NOMBRE
043,EL AGUILA,76243,EL ÁGUILA,EXACTO_NOMBRE
046,EL CAIRO,76246,EL CAIRO,EXACTO_NOMBRE
049,EL CERRITO,76248,EL CERRITO,EXACTO_NOMBRE
052,EL DOVIO,76250,EL DOVIO,EXACTO_NOMBRE
055,FLORIDA,76275,FLORIDA,EXACTO_NOMBRE
058,GINEBRA,76306,GINEBRA,EXACTO_NOMBRE
061,GUACARI,76318,GUACARÍ,EXACTO_NOMBRE
064,JAMUNDI,76364,JAMUNDÍ,EXACTO_NOMBRE
067,LA CUMBRE,76377,LA CUMBRE,EXACTO_NOMBRE
070,LA UNION,76400,LA UNIÓN,EXACTO_NOMBRE
073,LA VICTORIA,76403,LA VICTORIA,EXACTO_NOMBRE
076,OBANDO,76497,OBANDO,EXACTO_NOMBRE
079,PALMIRA,76520,PALMIRA,EXACTO_NOMBRE
082,PRADERA,76563,PRADERA,EXACTO_NOMBRE
085,RESTREPO,76606,RESTREPO,EXACTO_NOMBRE
088,RIOFRIO,76616,RIOFRÍO,EXACTO_NOMBRE
091,ROLDANILLO,76622,ROLDANILLO,EXACTO_NOMBRE
094,SAN PEDRO,76670,SAN PEDRO,EXACTO_NOMBRE
097,SEVILLA,76736,SEVILLA,EXACTO_NOMBRE
100,TORO,76823,TORO,EXACTO_NOMBRE
103,TRUJILLO,76828,TRUJILLO,EXACTO_NOMBRE
106,TULUA,76834,TULUÁ,EXACTO_NOMBRE
109,ULLOA,76845,ULLOA,EXACTO_NOMBRE
112,VERSALLES,76863,VERSALLES,EXACTO_NOMBRE
115,VIJES,76869,VIJES,EXACTO_NOMBRE
118,YOTOCO,76890,YOTOCO,EXACTO_NOMBRE
121,YUMBO,76892,YUMBO,EXACTO_NOMBRE
124,ZARZAL,76895,ZARZAL,EXACTO_NOMBRE
